Id,Label,count,rate,type,in_degree,out_degree,total_degree,community
92,Brexit,25032,0.0104827237325733,PERSON,35,26,61,3
93,James Davey,1426,0.0005971701838706,PERSON,7,15,22,0
94,Mark Potter,20114,0.0084231985121835,PERSON,65,0,65,0
95,Ed Osmond,4536,0.0018995539649629,PERSON,19,1,20,0
96,George W. Bush,2829,0.001184708590582,PERSON,8,17,25,1
97,Evans,1624,0.0006800872220237,PERSON,0,10,10,1
98,Marianna Parraga,2156,0.0009028744154453,PERSON,3,19,22,2
99,Jonathan Oatis,12628,0.0052882644333227,PERSON,28,2,30,2
100,Scott Pruitt,6105,0.0025566086763886,PERSON,42,34,76,1
102,Bolsonaro,6160,0.0025796411869867,PERSON,30,42,72,1
103,Macron,14558,0.0060964961688559,PERSON,74,176,250,1
104,Nina Chestney,3250,0.0013610119898874,PERSON,6,20,26,0
105,David Evans,28220,0.0118177718014229,PERSON,75,0,75,0
106,Paul Sandle,1665,0.0006972569117423,PERSON,5,19,24,0
107,Kate Holton,3819,0.0015992937813477,PERSON,20,17,37,0
108,Ernest Scheyder,2891,0.0012106725116199,PERSON,4,28,32,2
109,Dmitry Zhdannikov,4575,0.0019158861088415,PERSON,15,25,40,0
110,Dale Hudson,2350,0.0009841163619186,PERSON,18,3,21,0
111,Bush,6579,0.0027551070404522,PERSON,61,49,110,1
112,Polina Devitt,4730,0.0019807959114362,PERSON,23,46,69,0
113,Eikon,13632,0.005708712444968,PERSON,4,10,14,0
114,Michael Shields,1960,0.0008207949231321,PERSON,3,12,15,0
115,David Gregorio,8715,0.0036496059974982,PERSON,26,1,27,2
116,Powell,1824,0.0007638418060168,PERSON,32,7,39,1
117,Andrey Ostroukh,2070,0.0008668599443283,PERSON,15,12,27,0
118,Cook,3496,0.0014640301281989,PERSON,9,26,35,3
119,Zinke,17316,0.0072514718821204,PERSON,61,80,141,1
120,Susan Thomas,6726,0.0028166666596871,PERSON,41,1,42,0
121,Kim,18318,0.0076710823479257,PERSON,135,58,193,1
122,David,3526,0.0014765933157979,PERSON,0,10,10,3
123,David Milliken,3190,0.0013358856146895,PERSON,9,22,31,0
124,Susanna Twidale,1155,0.00048368272256,PERSON,1,13,14,0
125,Taylor,3920,0.0016415898462642,PERSON,2,4,6,3
126,Mark Zuckerberg,1161,0.0004861953600798,PERSON,1,10,11,3
127,David Goodman,9600,0.0040202200316676,PERSON,40,0,40,0
128,Netanyahu,1127,0.0004719570808009,PERSON,16,24,40,1
129,marijuana,7847,0.0032861111029683,PERSON,7,2,9,1
130,Stephen Jewkes,2950,0.0012353801138978,PERSON,3,21,24,0
131,Maduro,4545,0.0019033229212426,PERSON,5,5,10,1
132,Xi,3655,0.0015306150224734,PERSON,34,26,60,1
133,Chizu Nomiyama,12118,0.0050746902441404,PERSON,37,0,37,2
134,Will Dunham,1479,0.0006193651486287,PERSON,5,4,9,2
135,Kerry,1705,0.0007140078285409,PERSON,10,29,39,1
136,Rania El Gamal,7208,0.0030185152071104,PERSON,9,39,48,0
137,Alexander Smith,10011,0.0041923357017733,PERSON,49,1,50,0
138,Andrew Roche,1728,0.0007236396057001,PERSON,11,0,11,0
