Id,Label,Type,community
hEssen,Essen,Headquarter,7
d+24526000000 (+2021-00-00T00:00:00Z),+24526000000 (+2021-00-00T00:00:00Z),Revenue,7
pelectricity,electricity,Product,7
sectorenergy supply,energy supply,Activity Sector,7
"sectorelectric power generation, transmission and distribution","electric power generation, transmission and distribution",Activity Sector,7
groupDAX,DAX,Group,7
grouplist of German companies by employees in 1938,list of German companies by employees in 1938,Group,7
groupDivDAX,DivDAX,Group,7
groupCDAX,CDAX,Group,7
cOil & Natural Gas Corp Ltd,Oil & Natural Gas Corp Ltd,Company,8
cGlencore PLC,Glencore PLC,Company,2
countrySwitzerland,Switzerland,Country,2
hBaar,Baar,Headquarter,2
d+170497000000 (+2015-00-00T00:00:00Z),+170497000000 (+2015-00-00T00:00:00Z),Revenue,2
sectorsecurity and commodity contracts brokerage,security and commodity contracts brokerage,Activity Sector,2
cTurkmenGaz,TurkmenGaz,Company,9
countryTurkmenistan,Turkmenistan,Country,9
hAshgabat,Ashgabat,Headquarter,9
pnatural gas,natural gas,Product,9
cSasol Ltd,Sasol Ltd,Company,9
countrySouth Africa,South Africa,Country,9
hJohannesburg,Johannesburg,Headquarter,9
cAnadarko Petroleum Corp,Anadarko Petroleum Corp,Company,12
hThe Woodlands,The Woodlands,Headquarter,12
cEgyptian General Petroleum Corp,Egyptian General Petroleum Corp,Company,10
countryEgypt,Egypt,Country,10
hCairo,Cairo,Headquarter,10
cPetroleum Development Oman LLC,Petroleum Development Oman LLC,Company,14
countryOman,Oman,Country,14
hMuscat,Muscat,Headquarter,14
cSingareni Collieries Company,Singareni Collieries Company,Company,2
hKothagudem,Kothagudem,Headquarter,2
sectormining of hard coal,mining of hard coal,Activity Sector,2
cOccidental Petroleum Corp,Occidental Petroleum Corp,Company,12
d+18784000000 (+2007-00-00T00:00:00Z),+18784000000 (+2007-00-00T00:00:00Z),Revenue,12
cBumi Resources,Bumi Resources,Company,11
sIndonesia Stock Exchange,Indonesia Stock Exchange,Stock Exchange Sector,11
sectorcoal industry,coal industry,Activity Sector,11
cSuncor Energy Inc,Suncor Energy Inc,Company,13
countryCanada,Canada,Country,13
hCalgary,Calgary,Headquarter,13
sToronto Stock Exchange,Toronto Stock Exchange,Stock Exchange Sector,13
cPetoro AS,Petoro AS,Company,9
cNatural Resource Partners LP,Natural Resource Partners LP,Company,12
cMarathon Oil Corp,Marathon Oil Corp,Company,12
d+64751000000 (+2007-00-00T00:00:00Z),+64751000000 (+2007-00-00T00:00:00Z),Revenue,12
sectorgas industry,gas industry,Activity Sector,12
cVistra Energy,Vistra Energy,Company,12
cEncana Corp,Encana Corp,Company,13
d+4443000000 (+2017-00-00T00:00:00Z),+4443000000 (+2017-00-00T00:00:00Z),Revenue,13
cHess Corp,Hess Corp,Company,12
hNew York City,New York City,Headquarter,12
d+32004000000 (+2007-00-00T00:00:00Z),+32004000000 (+2007-00-00T00:00:00Z),Revenue,12
sectorlist of oil exploration and production companies,list of oil exploration and production companies,Activity Sector,12
cApache Corp,Apache Corp,Company,12
d+5354000000 (+2016-00-00T00:00:00Z),+5354000000 (+2016-00-00T00:00:00Z),Revenue,12
cSyrian Petroleum Co,Syrian Petroleum Co,Company,14
countrySyria,Syria,Country,14
hDamascus,Damascus,Headquarter,14
cKazMunayGas,KazMunayGas,Company,14
countryKazakhstan,Kazakhstan,Country,14
hAstana,Astana,Headquarter,14
sKazakhstan Stock Exchange,Kazakhstan Stock Exchange,Stock Exchange Sector,14
cInpex Corp,Inpex Corp,Company,9
countryJapan,Japan,Country,9
